size(byte),cam_time_sent,edge_time_arv,edge_time_sent,telegram_time_arv
41312,17:01:09,17:01:10,17:01:15,17:01:17
35993,17:02:04,17:02:05,17:02:05,17:02:08
36006,17:02:05,17:02:08,17:02:08,17:02:10
35338,17:02:08,17:02:10,17:02:11,17:02:13
34545,17:02:11,17:02:13,17:02:14,17:02:15
33712,17:02:15,17:02:16,17:02:17,17:02:19
34540,17:02:17,17:02:19,17:02:19,17:02:21
34670,17:02:21,17:02:23,17:02:24,17:02:26
34602,17:02:29,17:02:32,17:02:32,17:02:35
35115,17:02:33,17:02:35,17:02:35,17:02:38
34466,17:02:48,17:02:49,17:02:49,17:02:51
33974,17:02:51,17:02:52,17:02:53,17:02:55
32755,17:03:15,17:03:16,17:03:16,17:03:18
31872,17:03:26,17:03:28,17:03:29,17:03:31
29740,17:04:30,17:04:31,17:04:32,17:04:33
29543,17:04:36,17:04:38,17:04:39,17:04:41
29186,17:04:39,17:04:41,17:04:42,17:04:44
27661,17:05:40,17:05:43,17:05:43,17:05:45
28170,17:05:44,17:05:45,17:05:46,17:05:47
43918,17:05:48,17:05:50,17:05:50,17:05:52
41536,17:05:51,17:05:55,17:05:55,17:05:57
42444,17:06:03,17:06:05,17:06:06,17:06:08
39978,17:07:25,17:07:27,17:07:27,17:07:29
37255,17:08:41,17:08:43,17:08:44,17:08:46
37031,17:08:46,17:08:47,17:08:48,17:08:49
37283,17:08:48,17:08:49,17:08:50,17:08:52
37098,17:08:56,17:08:57,17:08:57,17:08:59
36033,17:09:15,17:09:18,17:09:18,17:09:20
35962,17:09:29,17:09:38,17:09:38,17:09:40
34728,17:09:40,17:09:41,17:09:41,17:09:43
35049,17:09:41,17:09:43,17:09:44,17:09:46
35243,17:09:45,17:09:46,17:09:47,17:09:49
35295,17:09:47,17:09:49,17:09:49,17:09:51
34681,17:09:53,17:09:54,17:09:55,17:09:57
35131,17:09:55,17:09:57,17:09:58,17:10:00
33290,17:10:00,17:10:02,17:10:02,17:10:04
34857,17:10:03,17:10:04,17:10:05,17:10:06
51519,17:12:32,17:12:34,17:12:35,17:12:37
48833,17:13:36,17:13:38,17:13:38,17:13:40
48050,17:13:41,17:13:43,17:13:43,17:13:46
48400,17:13:44,17:13:46,17:13:46,17:13:48
47516,17:13:50,17:13:51,17:13:52,17:13:54
45133,17:14:49,17:14:52,17:14:52,17:14:54
44462,17:15:09,17:15:10,17:15:11,17:15:12
43551,17:15:14,17:15:15,17:15:16,17:15:18
43262,17:15:39,17:15:41,17:15:41,17:15:43
41111,17:16:19,17:16:21,17:16:21,17:16:23
41109,17:16:21,17:16:23,17:16:23,17:16:25
40648,17:16:25,17:16:26,17:16:27,17:16:29
